strategy,scenario_id,npv_mEUR,total_revenue_mEUR,total_gross_profit_mEUR,total_ebit_mEUR,total_free_cash_flow_mEUR,total_capex_mEUR,total_demand_units,total_delivered_units,total_lost_units,lost_sales_pct_2025_2030,lost_sales_pct_2030_2035,gross_margin_2030,gross_margin_2035,average_utilization,max_ending_backlog_units
A1_Backlog_cautious,29,23096.82086544282,123400.0,74040.0,50594.0,40981.13999999999,0.0,723.0,617.0,106.0,0.0,0.12667946257197696,0.6,0.6,0.6855555555555556,100.0
A1_Backlog_cautious,30,21795.942550743683,132800.0,79680.0,52948.0,39197.87999999999,5000.0,685.0,664.0,21.0,0.0,0.04477611940298507,0.6,0.6,0.6829629629629629,81.0
A1_Backlog_cautious,31,24440.100983066117,128800.0,77280.0,52808.0,42774.47999999999,0.0,731.0,644.0,87.0,0.0,0.09072978303747535,0.6,0.6,0.7155555555555556,101.0
A1_Backlog_cautious,32,20028.467676508066,131600.0,78960.0,52456.0,38799.36,5000.0,702.0,658.0,44.0,0.0,0.08527131782945736,0.6,0.6,0.6651851851851852,99.0
A1_Backlog_cautious,33,24653.774032298064,129600.0,77760.0,53136.0,43040.15999999999,0.0,701.0,648.0,53.0,0.0,0.025423728813559324,0.6,0.6,0.7200000000000001,101.0
A1_Backlog_cautious,34,23492.63650013805,147400.0,88440.0,58684.0,44094.04,5000.0,739.0,737.0,2.0,0.0,0.00404040404040404,0.6,0.6,0.7207407407407408,92.0
A1_Backlog_cautious,35,23547.945432677712,142800.0,85680.0,56798.0,42566.38,5000.0,714.0,714.0,0.0,0.0,0.0,0.6,0.6,0.704074074074074,77.0
A1_Backlog_cautious,36,22861.643256833737,133000.0,79800.0,53030.0,39264.3,5000.0,665.0,665.0,0.0,0.0,0.0,0.6,0.6,0.6903703703703704,56.0
A1_Backlog_cautious,37,22034.877139315002,133000.0,79800.0,53030.0,39264.299999999996,5000.0,684.0,665.0,19.0,0.0,0.040948275862068964,0.6,0.6,0.6851851851851852,79.0
A1_Backlog_cautious,38,22107.884930267348,134000.0,80400.0,53440.0,39596.399999999994,5000.0,685.0,670.0,15.0,0.0,0.032327586206896554,0.6,0.6,0.6892592592592592,75.0
A1_Backlog_cautious,39,21858.499783100815,136400.0,81840.0,54424.0,40393.43999999999,5000.0,691.0,682.0,9.0,0.0,0.0189873417721519,0.6,0.6,0.6962962962962963,99.0
A1_Backlog_cautious,40,21983.033929736128,139800.0,83880.0,55818.0,41522.58,5000.0,763.0,699.0,64.0,0.0,0.09375,0.6,0.6,0.7100000000000001,103.0
A1_Backlog_cautious,41,24217.78514883498,127400.0,76440.0,52234.0,42309.539999999986,0.0,672.0,637.0,35.0,0.0,0.015873015873015872,0.6,0.6,0.7077777777777778,88.0
A1_Backlog_cautious,42,21572.673515520495,138000.0,82800.0,55080.0,40924.8,5000.0,774.0,690.0,84.0,0.0,0.11347517730496454,0.6,0.6,0.7,110.0
A1_Backlog_cautious,43,23786.88002124903,146800.0,88080.0,58438.0,43894.78,5000.0,764.0,734.0,30.0,0.0,0.05758157389635317,0.6,0.6,0.7203703703703703,93.0
A1_Backlog_cautious,44,22077.13346725367,137200.0,82320.0,54752.0,40659.119999999995,5000.0,692.0,686.0,6.0,0.0,0.012875536480686695,0.6,0.6,0.7007407407407409,76.0
A1_Backlog_cautious,45,23667.412726963372,144800.0,86880.0,57618.0,43230.58,5000.0,754.0,724.0,30.0,0.0,0.05905511811023622,0.6,0.6,0.7122222222222222,102.0
A1_Backlog_cautious,46,23071.21934809978,141800.0,85080.0,56638.0,42186.77999999999,5000.0,711.0,709.0,2.0,0.0,0.004310344827586207,0.6,0.6,0.7244444444444444,85.0
A1_Backlog_cautious,47,21903.258795979636,134800.0,80880.0,53768.0,39862.08,5000.0,674.0,674.0,0.0,0.0,0.0,0.6,0.6,0.6896296296296297,77.0
A1_Backlog_cautious,48,22712.817465242802,136400.0,81840.0,54424.0,40393.439999999995,5000.0,682.0,682.0,0.0,0.0,0.0,0.6,0.6,0.7022222222222222,68.0
A1_Backlog_cautious,49,22892.018406671294,143000.0,85800.0,57130.0,42585.3,5000.0,785.0,715.0,70.0,0.0,0.1282051282051282,0.6,0.6,0.7277777777777777,104.0
A1_Backlog_cautious,50,21779.448501451334,136000.0,81600.0,54260.0,40260.6,5000.0,713.0,680.0,33.0,0.0,0.06653225806451613,0.6,0.6,0.6944444444444444,95.0
A1_Backlog_cautious,51,21961.951399921367,135600.0,81360.0,54096.0,40127.76,5000.0,699.0,678.0,21.0,0.0,0.0440251572327044,0.6,0.6,0.6937037037037038,87.0
A1_Backlog_cautious,52,25468.992175210333,161200.0,96720.0,63842.0,48772.02000000001,5000.0,833.0,806.0,27.0,0.0,0.0,0.6,0.6,0.7288888888888889,117.0
A1_Backlog_cautious,53,23058.066264350316,120800.0,72480.0,49528.0,40117.68,0.0,604.0,604.0,0.0,0.0,0.0,0.6,0.6,0.6711111111111111,51.0
A1_Backlog_cautious,54,21877.36579683636,137600.0,82560.0,54916.0,40791.96,5000.0,708.0,688.0,20.0,0.0,0.04073319755600815,0.6,0.6,0.7007407407407408,86.0
A1_Backlog_cautious,55,22082.295634290705,139400.0,83640.0,55654.0,41389.74,5000.0,699.0,697.0,2.0,0.0,0.00425531914893617,0.6,0.6,0.7092592592592593,86.0
A1_Backlog_cautious,56,23071.21934809978,141200.0,84720.0,56392.0,41987.51999999999,5000.0,729.0,706.0,23.0,0.0,0.047520661157024795,0.6,0.6,0.7222222222222222,83.0
A1_Backlog_cautious,57,22201.762928576365,135000.0,81000.0,53850.0,39928.49999999999,5000.0,675.0,675.0,0.0,0.0,0.0,0.6,0.6,0.6937037037037037,64.0
A1_Backlog_cautious,58,22400.21046809355,137600.0,82560.0,54916.0,40791.95999999999,5000.0,719.0,688.0,31.0,0.0,0.06288032454361055,0.6,0.6,0.7044444444444444,90.0
A1_Backlog_cautious,59,22650.898211854514,141600.0,84960.0,56556.0,42120.36,5000.0,711.0,708.0,3.0,0.0,0.006289308176100629,0.6,0.6,0.7207407407407408,93.0
A1_Backlog_cautious,60,22738.222660297124,145600.0,87360.0,57946.0,43496.26,5000.0,760.0,728.0,32.0,0.0,0.06015037593984962,0.6,0.6,0.7092592592592593,96.0
