delivery_year,market_cycle,delivery_demand_units,order_year,orders_placed_units,scenario_id,latest_historical_year,starting_historical_demand_units,is_extension_year
2030,upturn,61,2029,61,55,2025,48.0,False
2031,upturn,89,2030,89,55,2025,48.0,False
2032,downturn,66,2031,66,55,2025,48.0,False
2033,upturn,78,2032,78,55,2025,48.0,False
2034,upturn,84,2033,84,55,2025,48.0,False
2035,downturn,92,2034,92,55,2025,48.0,False
2026,upturn,58,2025,58,56,2025,48.0,False
2027,upturn,64,2026,64,56,2025,48.0,False
2028,downturn,59,2027,59,56,2025,48.0,False
2029,upturn,64,2028,64,56,2025,48.0,False
2030,upturn,61,2029,61,56,2025,48.0,False
2031,downturn,79,2030,79,56,2025,48.0,False
2032,upturn,81,2031,81,56,2025,48.0,False
2033,upturn,95,2032,95,56,2025,48.0,False
2034,downturn,81,2033,81,56,2025,48.0,False
2035,upturn,87,2034,87,56,2025,48.0,False
2026,downturn,49,2025,49,57,2025,48.0,False
2027,upturn,54,2026,54,57,2025,48.0,False
2028,upturn,61,2027,61,57,2025,48.0,False
2029,downturn,66,2028,66,57,2025,48.0,False
2030,upturn,67,2029,67,57,2025,48.0,False
2031,upturn,74,2030,74,57,2025,48.0,False
2032,downturn,60,2031,60,57,2025,48.0,False
2033,upturn,68,2032,68,57,2025,48.0,False
2034,upturn,88,2033,88,57,2025,48.0,False
2035,downturn,88,2034,88,57,2025,48.0,False
2026,upturn,51,2025,51,58,2025,48.0,False
2027,upturn,58,2026,58,58,2025,48.0,False
2028,downturn,60,2027,60,58,2025,48.0,False
2029,upturn,57,2028,57,58,2025,48.0,False
2030,upturn,62,2029,62,58,2025,48.0,False
2031,downturn,82,2030,82,58,2025,48.0,False
2032,upturn,97,2031,97,58,2025,48.0,False
2033,upturn,90,2032,90,58,2025,48.0,False
2034,downturn,77,2033,77,58,2025,48.0,False
2035,upturn,85,2034,85,58,2025,48.0,False
2026,downturn,56,2025,56,59,2025,48.0,False
2027,upturn,58,2026,58,59,2025,48.0,False
2028,upturn,58,2027,58,59,2025,48.0,False
2029,downturn,62,2028,62,59,2025,48.0,False
2030,upturn,56,2029,56,59,2025,48.0,False
2031,upturn,80,2030,80,59,2025,48.0,False
2032,downturn,68,2031,68,59,2025,48.0,False
2033,upturn,90,2032,90,59,2025,48.0,False
2034,upturn,95,2033,95,59,2025,48.0,False
2035,downturn,88,2034,88,59,2025,48.0,False
2026,downturn,45,2025,45,60,2025,48.0,False
2027,upturn,54,2026,54,60,2025,48.0,False
2028,upturn,68,2027,68,60,2025,48.0,False
2029,downturn,61,2028,61,60,2025,48.0,False
2030,upturn,68,2029,68,60,2025,48.0,False
2031,upturn,96,2030,96,60,2025,48.0,False
2032,downturn,93,2031,93,60,2025,48.0,False
2033,upturn,87,2032,87,60,2025,48.0,False
2034,upturn,99,2033,99,60,2025,48.0,False
2035,downturn,89,2034,89,60,2025,48.0,False
2026,downturn,48,2025,48,61,2025,48.0,False
2027,upturn,63,2026,63,61,2025,48.0,False
2028,upturn,71,2027,71,61,2025,48.0,False
2029,downturn,69,2028,69,61,2025,48.0,False
2030,upturn,68,2029,68,61,2025,48.0,False
2031,upturn,100,2030,100,61,2025,48.0,False
2032,downturn,81,2031,81,61,2025,48.0,False
2033,upturn,85,2032,85,61,2025,48.0,False
2034,upturn,92,2033,92,61,2025,48.0,False
2035,downturn,75,2034,75,61,2025,48.0,False
2026,upturn,50,2025,50,62,2025,48.0,False
2027,upturn,60,2026,60,62,2025,48.0,False
2028,downturn,56,2027,56,62,2025,48.0,False
2029,upturn,64,2028,64,62,2025,48.0,False
2030,upturn,67,2029,67,62,2025,48.0,False
2031,downturn,93,2030,93,62,2025,48.0,False
2032,upturn,96,2031,96,62,2025,48.0,False
2033,upturn,111,2032,111,62,2025,48.0,False
2034,downturn,101,2033,101,62,2025,48.0,False
2035,upturn,91,2034,91,62,2025,48.0,False
2026,upturn,48,2025,48,63,2025,48.0,False
2027,upturn,62,2026,62,63,2025,48.0,False
2028,downturn,54,2027,54,63,2025,48.0,False
2029,upturn,64,2028,64,63,2025,48.0,False
2030,upturn,60,2029,60,63,2025,48.0,False
2031,downturn,68,2030,68,63,2025,48.0,False
2032,upturn,72,2031,72,63,2025,48.0,False
2033,upturn,89,2032,89,63,2025,48.0,False
2034,downturn,74,2033,74,63,2025,48.0,False
2035,upturn,88,2034,88,63,2025,48.0,False
2026,downturn,49,2025,49,64,2025,48.0,False
2027,upturn,52,2026,52,64,2025,48.0,False
2028,upturn,49,2027,49,64,2025,48.0,False
2029,downturn,47,2028,47,64,2025,48.0,False
2030,upturn,53,2029,53,64,2025,48.0,False
2031,upturn,70,2030,70,64,2025,48.0,False
2032,downturn,59,2031,59,64,2025,48.0,False
2033,upturn,69,2032,69,64,2025,48.0,False
2034,upturn,86,2033,86,64,2025,48.0,False
2035,downturn,60,2034,60,64,2025,48.0,False
2026,downturn,45,2025,45,65,2025,48.0,False
2027,upturn,51,2026,51,65,2025,48.0,False
2028,upturn,58,2027,58,65,2025,48.0,False
2029,downturn,51,2028,51,65,2025,48.0,False
2030,upturn,51,2029,51,65,2025,48.0,False
2031,upturn,68,2030,68,65,2025,48.0,False
2032,downturn,62,2031,62,65,2025,48.0,False
2033,upturn,88,2032,88,65,2025,48.0,False
2034,upturn,88,2033,88,65,2025,48.0,False
2035,downturn,73,2034,73,65,2025,48.0,False
2026,upturn,51,2025,51,66,2025,48.0,False
2027,upturn,59,2026,59,66,2025,48.0,False
2028,downturn,61,2027,61,66,2025,48.0,False
2029,upturn,74,2028,74,66,2025,48.0,False
2030,upturn,70,2029,70,66,2025,48.0,False
2031,downturn,97,2030,97,66,2025,48.0,False
2032,upturn,106,2031,106,66,2025,48.0,False
2033,upturn,96,2032,96,66,2025,48.0,False
2034,downturn,86,2033,86,66,2025,48.0,False
2035,upturn,102,2034,102,66,2025,48.0,False
2026,downturn,45,2025,45,67,2025,48.0,False
2027,upturn,53,2026,53,67,2025,48.0,False
2028,upturn,56,2027,56,67,2025,48.0,False
2029,downturn,54,2028,54,67,2025,48.0,False
2030,upturn,56,2029,56,67,2025,48.0,False
2031,upturn,89,2030,89,67,2025,48.0,False
2032,downturn,82,2031,82,67,2025,48.0,False
2033,upturn,77,2032,77,67,2025,48.0,False
2034,upturn,97,2033,97,67,2025,48.0,False
2035,downturn,78,2034,78,67,2025,48.0,False
2026,upturn,49,2025,49,68,2025,48.0,False
2027,upturn,57,2026,57,68,2025,48.0,False
2028,downturn,51,2027,51,68,2025,48.0,False
2029,upturn,56,2028,56,68,2025,48.0,False
2030,upturn,62,2029,62,68,2025,48.0,False
2031,downturn,76,2030,76,68,2025,48.0,False
2032,upturn,82,2031,82,68,2025,48.0,False
2033,upturn,85,2032,85,68,2025,48.0,False
2034,downturn,75,2033,75,68,2025,48.0,False
2035,upturn,78,2034,78,68,2025,48.0,False
2026,downturn,51,2025,51,69,2025,48.0,False
2027,upturn,57,2026,57,69,2025,48.0,False
2028,upturn,62,2027,62,69,2025,48.0,False
2029,downturn,61,2028,61,69,2025,48.0,False
2030,upturn,64,2029,64,69,2025,48.0,False
2031,upturn,97,2030,97,69,2025,48.0,False
2032,downturn,72,2031,72,69,2025,48.0,False
2033,upturn,83,2032,83,69,2025,48.0,False
2034,upturn,75,2033,75,69,2025,48.0,False
2035,downturn,66,2034,66,69,2025,48.0,False
2026,downturn,48,2025,48,70,2025,48.0,False
2027,upturn,54,2026,54,70,2025,48.0,False
2028,upturn,62,2027,62,70,2025,48.0,False
2029,downturn,62,2028,62,70,2025,48.0,False
2030,upturn,68,2029,68,70,2025,48.0,False
2031,upturn,91,2030,91,70,2025,48.0,False
2032,downturn,70,2031,70,70,2025,48.0,False
2033,upturn,77,2032,77,70,2025,48.0,False
2034,upturn,78,2033,78,70,2025,48.0,False
2035,downturn,72,2034,72,70,2025,48.0,False
2026,upturn,49,2025,49,71,2025,48.0,False
2027,upturn,62,2026,62,71,2025,48.0,False
2028,downturn,58,2027,58,71,2025,48.0,False
2029,upturn,62,2028,62,71,2025,48.0,False
2030,upturn,63,2029,63,71,2025,48.0,False
2031,downturn,84,2030,84,71,2025,48.0,False
2032,upturn,92,2031,92,71,2025,48.0,False
2033,upturn,86,2032,86,71,2025,48.0,False
2034,downturn,73,2033,73,71,2025,48.0,False
2035,upturn,80,2034,80,71,2025,48.0,False
2026,downturn,56,2025,56,72,2025,48.0,False
2027,upturn,62,2026,62,72,2025,48.0,False
2028,upturn,68,2027,68,72,2025,48.0,False
2029,downturn,59,2028,59,72,2025,48.0,False
2030,upturn,60,2029,60,72,2025,48.0,False
2031,upturn,76,2030,76,72,2025,48.0,False
2032,downturn,74,2031,74,72,2025,48.0,False
2033,upturn,89,2032,89,72,2025,48.0,False
2034,upturn,98,2033,98,72,2025,48.0,False
2035,downturn,83,2034,83,72,2025,48.0,False
2026,downturn,50,2025,50,73,2025,48.0,False
2027,upturn,56,2026,56,73,2025,48.0,False
2028,upturn,54,2027,54,73,2025,48.0,False
2029,downturn,45,2028,45,73,2025,48.0,False
2030,upturn,54,2029,54,73,2025,48.0,False
2031,upturn,77,2030,77,73,2025,48.0,False
2032,downturn,85,2031,85,73,2025,48.0,False
2033,upturn,92,2032,92,73,2025,48.0,False
2034,upturn,113,2033,113,73,2025,48.0,False
2035,downturn,89,2034,89,73,2025,48.0,False
2026,downturn,50,2025,50,74,2025,48.0,False
2027,upturn,62,2026,62,74,2025,48.0,False
2028,upturn,61,2027,61,74,2025,48.0,False
2029,downturn,64,2028,64,74,2025,48.0,False
2030,upturn,71,2029,71,74,2025,48.0,False
2031,upturn,98,2030,98,74,2025,48.0,False
2032,downturn,80,2031,80,74,2025,48.0,False
2033,upturn,87,2032,87,74,2025,48.0,False
2034,upturn,97,2033,97,74,2025,48.0,False
2035,downturn,83,2034,83,74,2025,48.0,False
2026,downturn,54,2025,54,75,2025,48.0,False
2027,upturn,54,2026,54,75,2025,48.0,False
2028,upturn,59,2027,59,75,2025,48.0,False
2029,downturn,59,2028,59,75,2025,48.0,False
2030,upturn,59,2029,59,75,2025,48.0,False
2031,upturn,70,2030,70,75,2025,48.0,False
2032,downturn,62,2031,62,75,2025,48.0,False
2033,upturn,71,2032,71,75,2025,48.0,False
2034,upturn,77,2033,77,75,2025,48.0,False
2035,downturn,72,2034,72,75,2025,48.0,False
2026,downturn,48,2025,48,76,2025,48.0,False
2027,upturn,64,2026,64,76,2025,48.0,False
2028,upturn,75,2027,75,76,2025,48.0,False
2029,downturn,57,2028,57,76,2025,48.0,False
2030,upturn,60,2029,60,76,2025,48.0,False
2031,upturn,86,2030,86,76,2025,48.0,False
2032,downturn,75,2031,75,76,2025,48.0,False
2033,upturn,83,2032,83,76,2025,48.0,False
2034,upturn,84,2033,84,76,2025,48.0,False
2035,downturn,74,2034,74,76,2025,48.0,False
2026,downturn,48,2025,48,77,2025,48.0,False
2027,upturn,53,2026,53,77,2025,48.0,False
2028,upturn,62,2027,62,77,2025,48.0,False
2029,downturn,57,2028,57,77,2025,48.0,False
2030,upturn,58,2029,58,77,2025,48.0,False
2031,upturn,79,2030,79,77,2025,48.0,False
2032,downturn,64,2031,64,77,2025,48.0,False
2033,upturn,67,2032,67,77,2025,48.0,False
2034,upturn,82,2033,82,77,2025,48.0,False
2035,downturn,75,2034,75,77,2025,48.0,False
2026,downturn,44,2025,44,78,2025,48.0,False
2027,upturn,57,2026,57,78,2025,48.0,False
2028,upturn,66,2027,66,78,2025,48.0,False
2029,downturn,61,2028,61,78,2025,48.0,False
2030,upturn,54,2029,54,78,2025,48.0,False
2031,upturn,79,2030,79,78,2025,48.0,False
2032,downturn,72,2031,72,78,2025,48.0,False
2033,upturn,87,2032,87,78,2025,48.0,False
2034,upturn,96,2033,96,78,2025,48.0,False
2035,downturn,93,2034,93,78,2025,48.0,False
2026,downturn,43,2025,43,79,2025,48.0,False
2027,upturn,55,2026,55,79,2025,48.0,False
2028,upturn,70,2027,70,79,2025,48.0,False
2029,downturn,64,2028,64,79,2025,48.0,False
2030,upturn,67,2029,67,79,2025,48.0,False
2031,upturn,88,2030,88,79,2025,48.0,False
2032,downturn,75,2031,75,79,2025,48.0,False
2033,upturn,99,2032,99,79,2025,48.0,False
2034,upturn,98,2033,98,79,2025,48.0,False
2035,downturn,81,2034,81,79,2025,48.0,False
2026,downturn,49,2025,49,80,2025,48.0,False
2027,upturn,60,2026,60,80,2025,48.0,False
2028,upturn,66,2027,66,80,2025,48.0,False
2029,downturn,63,2028,63,80,2025,48.0,False
2030,upturn,71,2029,71,80,2025,48.0,False
2031,upturn,83,2030,83,80,2025,48.0,False
2032,downturn,74,2031,74,80,2025,48.0,False
2033,upturn,75,2032,75,80,2025,48.0,False
2034,upturn,87,2033,87,80,2025,48.0,False
2035,downturn,89,2034,89,80,2025,48.0,False
2026,downturn,52,2025,52,81,2025,48.0,False
2027,upturn,53,2026,53,81,2025,48.0,False
2028,upturn,57,2027,57,81,2025,48.0,False
2029,downturn,45,2028,45,81,2025,48.0,False
2030,upturn,53,2029,53,81,2025,48.0,False
2031,upturn,80,2030,80,81,2025,48.0,False
2032,downturn,67,2031,67,81,2025,48.0,False
2033,upturn,71,2032,71,81,2025,48.0,False
2034,upturn,83,2033,83,81,2025,48.0,False
2035,downturn,97,2034,97,81,2025,48.0,False
2026,downturn,48,2025,48,82,2025,48.0,False
2027,upturn,52,2026,52,82,2025,48.0,False
2028,upturn,64,2027,64,82,2025,48.0,False
2029,downturn,56,2028,56,82,2025,48.0,False
2030,upturn,54,2029,54,82,2025,48.0,False
2031,upturn,78,2030,78,82,2025,48.0,False
2032,downturn,66,2031,66,82,2025,48.0,False
2033,upturn,92,2032,92,82,2025,48.0,False
2034,upturn,94,2033,94,82,2025,48.0,False
2035,downturn,93,2034,93,82,2025,48.0,False
2026,upturn,57,2025,57,83,2025,48.0,False
2027,upturn,70,2026,70,83,2025,48.0,False
2028,downturn,70,2027,70,83,2025,48.0,False
2029,upturn,75,2028,75,83,2025,48.0,False
2030,upturn,75,2029,75,83,2025,48.0,False
2031,downturn,76,2030,76,83,2025,48.0,False
2032,upturn,88,2031,88,83,2025,48.0,False
2033,upturn,89,2032,89,83,2025,48.0,False
2034,downturn,94,2033,94,83,2025,48.0,False
2035,upturn,97,2034,97,83,2025,48.0,False
2026,upturn,59,2025,59,84,2025,48.0,False
2027,upturn,66,2026,66,84,2025,48.0,False
2028,downturn,64,2027,64,84,2025,48.0,False
2029,upturn,60,2028,60,84,2025,48.0,False
2030,upturn,61,2029,61,84,2025,48.0,False
2031,downturn,78,2030,78,84,2025,48.0,False
2032,upturn,90,2031,90,84,2025,48.0,False
2033,upturn,96,2032,96,84,2025,48.0,False
2034,downturn,65,2033,65,84,2025,48.0,False
2035,upturn,69,2034,69,84,2025,48.0,False
2026,downturn,40,2025,40,85,2025,48.0,False
2027,upturn,49,2026,49,85,2025,48.0,False
2028,upturn,53,2027,53,85,2025,48.0,False
2029,downturn,53,2028,53,85,2025,48.0,False
2030,upturn,51,2029,51,85,2025,48.0,False
2031,upturn,80,2030,80,85,2025,48.0,False
2032,downturn,81,2031,81,85,2025,48.0,False
2033,upturn,81,2032,81,85,2025,48.0,False
2034,upturn,91,2033,91,85,2025,48.0,False
2035,downturn,80,2034,80,85,2025,48.0,False
2026,upturn,53,2025,53,86,2025,48.0,False
2027,upturn,63,2026,63,86,2025,48.0,False
2028,downturn,59,2027,59,86,2025,48.0,False
2029,upturn,67,2028,67,86,2025,48.0,False
2030,upturn,69,2029,69,86,2025,48.0,False
2031,downturn,84,2030,84,86,2025,48.0,False
2032,upturn,85,2031,85,86,2025,48.0,False
2033,upturn,81,2032,81,86,2025,48.0,False
2034,downturn,75,2033,75,86,2025,48.0,False
2035,upturn,95,2034,95,86,2025,48.0,False
2026,upturn,54,2025,54,87,2025,48.0,False
2027,upturn,62,2026,62,87,2025,48.0,False
2028,downturn,59,2027,59,87,2025,48.0,False
2029,upturn,61,2028,61,87,2025,48.0,False
2030,upturn,61,2029,61,87,2025,48.0,False
2031,downturn,69,2030,69,87,2025,48.0,False
2032,upturn,93,2031,93,87,2025,48.0,False
2033,upturn,99,2032,99,87,2025,48.0,False
2034,downturn,93,2033,93,87,2025,48.0,False
2035,upturn,103,2034,103,87,2025,48.0,False
2026,upturn,56,2025,56,88,2025,48.0,False
2027,upturn,72,2026,72,88,2025,48.0,False
2028,downturn,58,2027,58,88,2025,48.0,False
2029,upturn,54,2028,54,88,2025,48.0,False
2030,upturn,60,2029,60,88,2025,48.0,False
2031,downturn,57,2030,57,88,2025,48.0,False
2032,upturn,70,2031,70,88,2025,48.0,False
2033,upturn,63,2032,63,88,2025,48.0,False
2034,downturn,65,2033,65,88,2025,48.0,False
2035,upturn,76,2034,76,88,2025,48.0,False
2026,downturn,52,2025,52,89,2025,48.0,False
2027,upturn,59,2026,59,89,2025,48.0,False
2028,upturn,67,2027,67,89,2025,48.0,False
2029,downturn,62,2028,62,89,2025,48.0,False
2030,upturn,64,2029,64,89,2025,48.0,False
2031,upturn,94,2030,94,89,2025,48.0,False
2032,downturn,68,2031,68,89,2025,48.0,False
2033,upturn,76,2032,76,89,2025,48.0,False
2034,upturn,86,2033,86,89,2025,48.0,False
2035,downturn,71,2034,71,89,2025,48.0,False
2026,downturn,42,2025,42,90,2025,48.0,False
2027,upturn,41,2026,41,90,2025,48.0,False
2028,upturn,45,2027,45,90,2025,48.0,False
2029,downturn,47,2028,47,90,2025,48.0,False
2030,upturn,58,2029,58,90,2025,48.0,False
2031,upturn,93,2030,93,90,2025,48.0,False
2032,downturn,71,2031,71,90,2025,48.0,False
2033,upturn,75,2032,75,90,2025,48.0,False
2034,upturn,88,2033,88,90,2025,48.0,False
2035,downturn,60,2034,60,90,2025,48.0,False
2026,upturn,54,2025,54,91,2025,48.0,False
2027,upturn,62,2026,62,91,2025,48.0,False
2028,downturn,53,2027,53,91,2025,48.0,False
2029,upturn,66,2028,66,91,2025,48.0,False
2030,upturn,65,2029,65,91,2025,48.0,False
2031,downturn,76,2030,76,91,2025,48.0,False
2032,upturn,90,2031,90,91,2025,48.0,False
2033,upturn,99,2032,99,91,2025,48.0,False
2034,downturn,90,2033,90,91,2025,48.0,False
2035,upturn,90,2034,90,91,2025,48.0,False
2026,upturn,50,2025,50,92,2025,48.0,False
2027,upturn,59,2026,59,92,2025,48.0,False
2028,downturn,57,2027,57,92,2025,48.0,False
2029,upturn,61,2028,61,92,2025,48.0,False
2030,upturn,64,2029,64,92,2025,48.0,False
2031,downturn,76,2030,76,92,2025,48.0,False
2032,upturn,81,2031,81,92,2025,48.0,False
2033,upturn,93,2032,93,92,2025,48.0,False
2034,downturn,76,2033,76,92,2025,48.0,False
2035,upturn,96,2034,96,92,2025,48.0,False
2026,upturn,54,2025,54,93,2025,48.0,False
2027,upturn,60,2026,60,93,2025,48.0,False
2028,downturn,59,2027,59,93,2025,48.0,False
2029,upturn,67,2028,67,93,2025,48.0,False
2030,upturn,71,2029,71,93,2025,48.0,False
2031,downturn,109,2030,109,93,2025,48.0,False
2032,upturn,120,2031,120,93,2025,48.0,False
2033,upturn,116,2032,116,93,2025,48.0,False
2034,downturn,99,2033,99,93,2025,48.0,False
2035,upturn,104,2034,104,93,2025,48.0,False
2026,downturn,53,2025,53,94,2025,48.0,False
2027,upturn,53,2026,53,94,2025,48.0,False
2028,upturn,59,2027,59,94,2025,48.0,False
2029,downturn,48,2028,48,94,2025,48.0,False
2030,upturn,57,2029,57,94,2025,48.0,False
2031,upturn,82,2030,82,94,2025,48.0,False
2032,downturn,85,2031,85,94,2025,48.0,False
2033,upturn,101,2032,101,94,2025,48.0,False
2034,upturn,116,2033,116,94,2025,48.0,False
2035,downturn,101,2034,101,94,2025,48.0,False
2026,downturn,44,2025,44,95,2025,48.0,False
2027,upturn,58,2026,58,95,2025,48.0,False
2028,upturn,61,2027,61,95,2025,48.0,False
2029,downturn,51,2028,51,95,2025,48.0,False
2030,upturn,59,2029,59,95,2025,48.0,False
2031,upturn,83,2030,83,95,2025,48.0,False
2032,downturn,64,2031,64,95,2025,48.0,False
2033,upturn,85,2032,85,95,2025,48.0,False
2034,upturn,92,2033,92,95,2025,48.0,False
2035,downturn,81,2034,81,95,2025,48.0,False
2026,upturn,54,2025,54,96,2025,48.0,False
2027,upturn,66,2026,66,96,2025,48.0,False
2028,downturn,60,2027,60,96,2025,48.0,False
2029,upturn,58,2028,58,96,2025,48.0,False
2030,upturn,60,2029,60,96,2025,48.0,False
2031,downturn,69,2030,69,96,2025,48.0,False
2032,upturn,83,2031,83,96,2025,48.0,False
2033,upturn,87,2032,87,96,2025,48.0,False
2034,downturn,87,2033,87,96,2025,48.0,False
2035,upturn,98,2034,98,96,2025,48.0,False
2026,downturn,44,2025,44,97,2025,48.0,False
2027,upturn,50,2026,50,97,2025,48.0,False
2028,upturn,54,2027,54,97,2025,48.0,False
2029,downturn,59,2028,59,97,2025,48.0,False
2030,upturn,63,2029,63,97,2025,48.0,False
2031,upturn,97,2030,97,97,2025,48.0,False
2032,downturn,72,2031,72,97,2025,48.0,False
2033,upturn,63,2032,63,97,2025,48.0,False
2034,upturn,75,2033,75,97,2025,48.0,False
2035,downturn,73,2034,73,97,2025,48.0,False
2026,downturn,47,2025,47,98,2025,48.0,False
2027,upturn,60,2026,60,98,2025,48.0,False
2028,upturn,54,2027,54,98,2025,48.0,False
2029,downturn,50,2028,50,98,2025,48.0,False
2030,upturn,56,2029,56,98,2025,48.0,False
2031,upturn,70,2030,70,98,2025,48.0,False
2032,downturn,79,2031,79,98,2025,48.0,False
2033,upturn,85,2032,85,98,2025,48.0,False
2034,upturn,93,2033,93,98,2025,48.0,False
2035,downturn,76,2034,76,98,2025,48.0,False
2026,upturn,57,2025,57,99,2025,48.0,False
2027,upturn,60,2026,60,99,2025,48.0,False
2028,downturn,59,2027,59,99,2025,48.0,False
2029,upturn,58,2028,58,99,2025,48.0,False
2030,upturn,61,2029,61,99,2025,48.0,False
2031,downturn,66,2030,66,99,2025,48.0,False
2032,upturn,77,2031,77,99,2025,48.0,False
2033,upturn,80,2032,80,99,2025,48.0,False
2034,downturn,63,2033,63,99,2025,48.0,False
2035,upturn,67,2034,67,99,2025,48.0,False
2026,downturn,52,2025,52,100,2025,48.0,False
2027,upturn,58,2026,58,100,2025,48.0,False
2028,upturn,68,2027,68,100,2025,48.0,False
2029,downturn,61,2028,61,100,2025,48.0,False
2030,upturn,68,2029,68,100,2025,48.0,False
2031,upturn,85,2030,85,100,2025,48.0,False
2032,downturn,73,2031,73,100,2025,48.0,False
2033,upturn,79,2032,79,100,2025,48.0,False
2034,upturn,100,2033,100,100,2025,48.0,False
2035,downturn,82,2034,82,100,2025,48.0,False
2026,upturn,58,2025,58,101,2025,48.0,False
2027,upturn,66,2026,66,101,2025,48.0,False
2028,downturn,64,2027,64,101,2025,48.0,False
2029,upturn,60,2028,60,101,2025,48.0,False
2030,upturn,57,2029,57,101,2025,48.0,False
2031,downturn,68,2030,68,101,2025,48.0,False
2032,upturn,79,2031,79,101,2025,48.0,False
2033,upturn,74,2032,74,101,2025,48.0,False
2034,downturn,77,2033,77,101,2025,48.0,False
2035,upturn,98,2034,98,101,2025,48.0,False
2026,upturn,51,2025,51,102,2025,48.0,False
2027,upturn,63,2026,63,102,2025,48.0,False
2028,downturn,53,2027,53,102,2025,48.0,False
2029,upturn,63,2028,63,102,2025,48.0,False
2030,upturn,68,2029,68,102,2025,48.0,False
2031,downturn,77,2030,77,102,2025,48.0,False
2032,upturn,91,2031,91,102,2025,48.0,False
2033,upturn,99,2032,99,102,2025,48.0,False
2034,downturn,101,2033,101,102,2025,48.0,False
2035,upturn,103,2034,103,102,2025,48.0,False
2026,downturn,48,2025,48,103,2025,48.0,False
2027,upturn,61,2026,61,103,2025,48.0,False
2028,upturn,69,2027,69,103,2025,48.0,False
2029,downturn,67,2028,67,103,2025,48.0,False
2030,upturn,78,2029,78,103,2025,48.0,False
2031,upturn,107,2030,107,103,2025,48.0,False
2032,downturn,90,2031,90,103,2025,48.0,False
2033,upturn,96,2032,96,103,2025,48.0,False
2034,upturn,87,2033,87,103,2025,48.0,False
2035,downturn,88,2034,88,103,2025,48.0,False
2026,downturn,48,2025,48,104,2025,48.0,False
2027,upturn,54,2026,54,104,2025,48.0,False
2028,upturn,61,2027,61,104,2025,48.0,False
2029,downturn,60,2028,60,104,2025,48.0,False
2030,upturn,62,2029,62,104,2025,48.0,False
2031,upturn,95,2030,95,104,2025,48.0,False
2032,downturn,89,2031,89,104,2025,48.0,False
2033,upturn,99,2032,99,104,2025,48.0,False
2034,upturn,89,2033,89,104,2025,48.0,False
2035,downturn,58,2034,58,104,2025,48.0,False
2026,downturn,49,2025,49,105,2025,48.0,False
2027,upturn,47,2026,47,105,2025,48.0,False
2028,upturn,57,2027,57,105,2025,48.0,False
2029,downturn,55,2028,55,105,2025,48.0,False
2030,upturn,66,2029,66,105,2025,48.0,False
2031,upturn,106,2030,106,105,2025,48.0,False
2032,downturn,103,2031,103,105,2025,48.0,False
2033,upturn,94,2032,94,105,2025,48.0,False
2034,upturn,93,2033,93,105,2025,48.0,False
2035,downturn,88,2034,88,105,2025,48.0,False
2026,upturn,51,2025,51,106,2025,48.0,False
2027,upturn,59,2026,59,106,2025,48.0,False
2028,downturn,60,2027,60,106,2025,48.0,False
2029,upturn,64,2028,64,106,2025,48.0,False
2030,upturn,66,2029,66,106,2025,48.0,False
2031,downturn,89,2030,89,106,2025,48.0,False
2032,upturn,105,2031,105,106,2025,48.0,False
2033,upturn,104,2032,104,106,2025,48.0,False
2034,downturn,84,2033,84,106,2025,48.0,False
2035,upturn,81,2034,81,106,2025,48.0,False
2026,downturn,46,2025,46,107,2025,48.0,False
2027,upturn,54,2026,54,107,2025,48.0,False
2028,upturn,60,2027,60,107,2025,48.0,False
2029,downturn,50,2028,50,107,2025,48.0,False
2030,upturn,57,2029,57,107,2025,48.0,False
2031,upturn,76,2030,76,107,2025,48.0,False
2032,downturn,65,2031,65,107,2025,48.0,False
2033,upturn,72,2032,72,107,2025,48.0,False
2034,upturn,71,2033,71,107,2025,48.0,False
2035,downturn,51,2034,51,107,2025,48.0,False
2026,downturn,55,2025,55,108,2025,48.0,False
2027,upturn,59,2026,59,108,2025,48.0,False
2028,upturn,64,2027,64,108,2025,48.0,False
2029,downturn,58,2028,58,108,2025,48.0,False
2030,upturn,65,2029,65,108,2025,48.0,False
2031,upturn,98,2030,98,108,2025,48.0,False
2032,downturn,93,2031,93,108,2025,48.0,False
2033,upturn,97,2032,97,108,2025,48.0,False
2034,upturn,107,2033,107,108,2025,48.0,False
2035,downturn,99,2034,99,108,2025,48.0,False
2026,upturn,58,2025,58,109,2025,48.0,False
2027,upturn,65,2026,65,109,2025,48.0,False
2028,downturn,64,2027,64,109,2025,48.0,False
2029,upturn,68,2028,68,109,2025,48.0,False
2030,upturn,74,2029,74,109,2025,48.0,False
2031,downturn,88,2030,88,109,2025,48.0,False
2032,upturn,91,2031,91,109,2025,48.0,False
2033,upturn,83,2032,83,109,2025,48.0,False
2034,downturn,72,2033,72,109,2025,48.0,False
2035,upturn,80,2034,80,109,2025,48.0,False
2026,downturn,51,2025,51,110,2025,48.0,False
2027,upturn,56,2026,56,110,2025,48.0,False
2028,upturn,64,2027,64,110,2025,48.0,False
2029,downturn,61,2028,61,110,2025,48.0,False
2030,upturn,64,2029,64,110,2025,48.0,False
2031,upturn,78,2030,78,110,2025,48.0,False
2032,downturn,54,2031,54,110,2025,48.0,False
2033,upturn,73,2032,73,110,2025,48.0,False
2034,upturn,75,2033,75,110,2025,48.0,False
2035,downturn,75,2034,75,110,2025,48.0,False
2026,upturn,57,2025,57,111,2025,48.0,False
