delivery_year,market_cycle,delivery_demand_units,order_year,orders_placed_units,scenario_id,latest_historical_year,starting_historical_demand_units,is_extension_year
2035,downturn,96,2034,96,11,2025,48.0,False
2026,downturn,44,2025,44,12,2025,48.0,False
2027,upturn,49,2026,49,12,2025,48.0,False
2028,upturn,54,2027,54,12,2025,48.0,False
2029,downturn,56,2028,56,12,2025,48.0,False
2030,upturn,67,2029,67,12,2025,48.0,False
2031,upturn,111,2030,111,12,2025,48.0,False
2032,downturn,101,2031,101,12,2025,48.0,False
2033,upturn,106,2032,106,12,2025,48.0,False
2034,upturn,86,2033,86,12,2025,48.0,False
2035,downturn,86,2034,86,12,2025,48.0,False
2026,downturn,43,2025,43,13,2025,48.0,False
2027,upturn,44,2026,44,13,2025,48.0,False
2028,upturn,58,2027,58,13,2025,48.0,False
2029,downturn,53,2028,53,13,2025,48.0,False
2030,upturn,62,2029,62,13,2025,48.0,False
2031,upturn,102,2030,102,13,2025,48.0,False
2032,downturn,98,2031,98,13,2025,48.0,False
2033,upturn,95,2032,95,13,2025,48.0,False
2034,upturn,100,2033,100,13,2025,48.0,False
2035,downturn,78,2034,78,13,2025,48.0,False
2026,downturn,49,2025,49,14,2025,48.0,False
2027,upturn,56,2026,56,14,2025,48.0,False
2028,upturn,56,2027,56,14,2025,48.0,False
2029,downturn,54,2028,54,14,2025,48.0,False
2030,upturn,50,2029,50,14,2025,48.0,False
2031,upturn,76,2030,76,14,2025,48.0,False
2032,downturn,80,2031,80,14,2025,48.0,False
2033,upturn,80,2032,80,14,2025,48.0,False
2034,upturn,96,2033,96,14,2025,48.0,False
2035,downturn,78,2034,78,14,2025,48.0,False
2026,downturn,51,2025,51,15,2025,48.0,False
2027,upturn,58,2026,58,15,2025,48.0,False
2028,upturn,60,2027,60,15,2025,48.0,False
2029,downturn,63,2028,63,15,2025,48.0,False
2030,upturn,58,2029,58,15,2025,48.0,False
2031,upturn,79,2030,79,15,2025,48.0,False
2032,downturn,60,2031,60,15,2025,48.0,False
2033,upturn,76,2032,76,15,2025,48.0,False
2034,upturn,81,2033,81,15,2025,48.0,False
2035,downturn,90,2034,90,15,2025,48.0,False
2026,upturn,59,2025,59,16,2025,48.0,False
2027,upturn,64,2026,64,16,2025,48.0,False
2028,downturn,60,2027,60,16,2025,48.0,False
2029,upturn,64,2028,64,16,2025,48.0,False
2030,upturn,66,2029,66,16,2025,48.0,False
2031,downturn,84,2030,84,16,2025,48.0,False
2032,upturn,87,2031,87,16,2025,48.0,False
2033,upturn,76,2032,76,16,2025,48.0,False
2034,downturn,71,2033,71,16,2025,48.0,False
2035,upturn,77,2034,77,16,2025,48.0,False
2026,upturn,51,2025,51,17,2025,48.0,False
2027,upturn,60,2026,60,17,2025,48.0,False
2028,downturn,53,2027,53,17,2025,48.0,False
2029,upturn,63,2028,63,17,2025,48.0,False
2030,upturn,67,2029,67,17,2025,48.0,False
2031,downturn,84,2030,84,17,2025,48.0,False
2032,upturn,84,2031,84,17,2025,48.0,False
2033,upturn,97,2032,97,17,2025,48.0,False
2034,downturn,89,2033,89,17,2025,48.0,False
2035,upturn,90,2034,90,17,2025,48.0,False
2026,upturn,60,2025,60,18,2025,48.0,False
2027,upturn,59,2026,59,18,2025,48.0,False
2028,downturn,58,2027,58,18,2025,48.0,False
2029,upturn,63,2028,63,18,2025,48.0,False
2030,upturn,71,2029,71,18,2025,48.0,False
2031,downturn,89,2030,89,18,2025,48.0,False
2032,upturn,96,2031,96,18,2025,48.0,False
2033,upturn,113,2032,113,18,2025,48.0,False
2034,downturn,102,2033,102,18,2025,48.0,False
2035,upturn,107,2034,107,18,2025,48.0,False
2026,downturn,50,2025,50,19,2025,48.0,False
2027,upturn,50,2026,50,19,2025,48.0,False
2028,upturn,48,2027,48,19,2025,48.0,False
2029,downturn,53,2028,53,19,2025,48.0,False
2030,upturn,59,2029,59,19,2025,48.0,False
2031,upturn,89,2030,89,19,2025,48.0,False
2032,downturn,92,2031,92,19,2025,48.0,False
2033,upturn,97,2032,97,19,2025,48.0,False
2034,upturn,83,2033,83,19,2025,48.0,False
2035,downturn,73,2034,73,19,2025,48.0,False
2026,downturn,56,2025,56,20,2025,48.0,False
2027,upturn,57,2026,57,20,2025,48.0,False
