Date,Close,Volume,log_return
,ZS=F,ZS=F,
2005-01-03,537.25,47,0.0
2005-01-04,529.75,54,-0.014058338374211428
2005-01-05,534.0,37,0.007990641811786376
2005-01-06,541.75,35,0.014408801456273655
2005-01-07,551.75,17,0.018290404720377323
2005-01-10,560.0,65,0.014841738592349054
2005-01-11,557.5,10,-0.004474280394921077
2005-01-12,554.0,11,-0.006297816586989988
2005-01-13,557.5,10,0.006297816586990104
2005-01-14,542.0,3364,-0.02819650189462756
2005-01-18,513.5,684,-0.0540159720710333
2005-01-19,517.75,875,0.008242470907080631
2005-01-20,523.25,484,0.010566861050415531
2005-01-21,516.75,1279,-0.012500162764231494
2005-01-24,520.0,449,0.006269613013595395
2005-01-25,526.0,570,0.011472401162236781
2005-01-26,523.0,406,-0.005719748672786953
2005-01-27,515.75,859,-0.013959312113561684
2005-01-28,514.0,2050,-0.003398886496196142
2005-01-31,514.75,604,0.0014580804527337167
2005-02-01,507.0,1107,-0.015170342316715716
2005-02-02,505.25,328,-0.003457647307452734
2005-02-03,502.0,534,-0.006453236592001203
2005-02-04,499.5,357,-0.004992521603120982
2005-02-07,501.25,433,0.0034973805321708196
2005-02-08,503.5,775,0.004478733537838008
2005-02-09,510.75,813,0.014296521539114398
2005-02-10,516.0,557,0.010226531783831374
2005-02-11,525.75,3185,0.018719049101246353
2005-02-14,535.75,1601,0.018841819770877174
2005-02-15,535.25,654,-0.0009337068838942209
2005-02-16,535.0,955,-0.0004671805737856531
2005-02-17,552.0,2103,0.0312812993810887
2005-02-18,552.5,1407,0.0009053871148125196
2005-02-22,577.0,675,0.04338883311619174
2005-02-23,576.75,493,-0.00043336945423651073
2005-02-24,569.0,409,-0.013528462927532157
2005-02-25,597.5,457,0.04887384967933473
2005-02-28,615.5,134,0.0296806618188425
2005-03-01,605.0,120,-0.017206487593666775
2005-03-02,618.75,21,0.022472855852058576
2005-03-03,620.0,163,0.0020181641562371953
2005-03-04,622.75,37,0.0044256761031525255
2005-03-07,608.5,25,-0.023148241714707994
2005-03-08,619.5,27,0.01791578864161524
2005-03-09,624.0,2,0.007237667300230602
2005-03-10,633.25,16,0.01471492051235683
2005-03-11,656.75,24,0.03643813968386457
2005-03-14,654.0,2650,-0.0041960771084504946
2005-03-15,681.0,3330,0.04045495469231375
2005-03-16,673.5,2036,-0.011074310299093665
2005-03-17,671.5,3826,-0.0029739798871263943
2005-03-18,649.0,2945,-0.03408129925920226
2005-03-21,626.5,1505,-0.035283942367967044
2005-03-22,627.25,3091,0.0011964109104086879
