date,temperature_2m_mean_mato_grosso,temperature_2m_max_mato_grosso,temperature_2m_min_mato_grosso,precipitation_sum_mato_grosso,soil_moisture_0_to_7cm_mean_mato_grosso,soil_moisture_7_to_28cm_mean_mato_grosso,soil_moisture_28_to_100cm_mean_mato_grosso,soil_moisture_0_to_100cm_mean_mato_grosso,soil_temperature_0_to_7cm_mean_mato_grosso,et0_fao_evapotranspiration_sum_mato_grosso,relative_humidity_2m_mean_mato_grosso,vapour_pressure_deficit_max_mato_grosso,wet_bulb_temperature_2m_mean_mato_grosso,snowfall_water_equivalent_sum_mato_grosso,wind_speed_10m_max_mato_grosso,temperature_2m_mean_parana,temperature_2m_max_parana,temperature_2m_min_parana,precipitation_sum_parana,soil_moisture_0_to_7cm_mean_parana,soil_moisture_7_to_28cm_mean_parana,soil_moisture_28_to_100cm_mean_parana,soil_moisture_0_to_100cm_mean_parana,soil_temperature_0_to_7cm_mean_parana,et0_fao_evapotranspiration_sum_parana,relative_humidity_2m_mean_parana,vapour_pressure_deficit_max_parana,wet_bulb_temperature_2m_mean_parana,snowfall_water_equivalent_sum_parana,wind_speed_10m_max_parana,temperature_2m_mean_rio_grande_sul,temperature_2m_max_rio_grande_sul,temperature_2m_min_rio_grande_sul,precipitation_sum_rio_grande_sul,soil_moisture_0_to_7cm_mean_rio_grande_sul,soil_moisture_7_to_28cm_mean_rio_grande_sul,soil_moisture_28_to_100cm_mean_rio_grande_sul,soil_moisture_0_to_100cm_mean_rio_grande_sul,soil_temperature_0_to_7cm_mean_rio_grande_sul,et0_fao_evapotranspiration_sum_rio_grande_sul,relative_humidity_2m_mean_rio_grande_sul,vapour_pressure_deficit_max_rio_grande_sul,wet_bulb_temperature_2m_mean_rio_grande_sul,snowfall_water_equivalent_sum_rio_grande_sul,wind_speed_10m_max_rio_grande_sul
2005-01-11,24.640501,29.778,21.678,5.7,0.4692916,0.48808327,0.48758328,0.4864079,25.317581,3.7453172,90.02305,1.4005616,23.277794,0.0,7.729527,20.659082,24.5195,18.2695,19.099998,0.4777083,0.4943334,0.4607916,0.46901956,21.740334,2.9350922,91.296745,0.6636934,19.54688,0.0,11.879999,23.10658,27.179499,19.4795,0.0,0.43012497,0.35570827,0.36645845,0.36865747,24.05867,4.297882,75.81582,1.4959183,19.835783,0.0,18.345877
2005-01-12,25.253,28.578,22.678,9.099999,0.47462496,0.48758337,0.4893334,0.4879363,25.6155,3.59327,90.40147,1.0691938,23.950987,0.0,6.12,21.371584,24.7195,18.119501,0.3,0.4760418,0.48654163,0.46729168,0.47194663,21.72992,3.5207114,78.91751,1.1064563,18.64419,0.0,15.517629,24.585747,30.9795,18.429499,0.0,0.39433333,0.35458338,0.36516663,0.36498585,25.279503,5.6494536,69.39059,2.60665,20.126997,0.0,13.5515
2005-01-13,24.257166,25.828,22.678,13.7,0.4799167,0.4957917,0.4933332,0.49291041,24.903,2.1759026,93.49412,0.4444201,23.421051,0.0,7.5942082,21.404917,25.5195,17.119501,0.0,0.4581666,0.47383335,0.46620837,0.46724668,22.065332,4.8627234,72.4851,1.4290687,17.81507,0.0,10.739833,24.637833,30.8795,18.0295,0.0,0.36249998,0.349875,0.3635833,0.36062875,25.831587,7.0164256,59.44723,2.8287544,18.6831,0.0,17.782688
2005-01-14,24.294664,28.127998,22.127998,12.3,0.4630833,0.48249996,0.5021667,0.4953008,24.800917,3.0636182,90.879234,0.98547316,23.076994,0.0,12.031756,21.127834,26.369501,16.0695,0.0,0.43891668,0.4609166,0.46416673,0.46171668,21.73408,4.953686,74.24155,1.6091917,17.746122,0.0,10.853866,24.739916,31.979498,16.3795,0.0,0.3337917,0.34466663,0.36208332,0.3564454,25.744081,6.4856544,61.135517,3.0948992,18.888996,0.0,10.966713
2005-01-15,25.13217,30.227999,22.528,4.7000003,0.46774995,0.46975002,0.49891663,0.49061,25.44883,4.0710835,86.62925,1.6016166,23.288107,0.0,9.957108,22.144503,27.0195,17.7695,3.8000002,0.4345416,0.45008337,0.46208343,0.4576354,22.559084,4.204242,84.33948,1.1623118,20.071543,0.0,12.429127,22.706581,25.679499,19.679499,10.200001,0.3579583,0.34112504,0.36100003,0.35661337,23.912834,2.335702,81.22444,1.1939514,20.243315,0.0,13.1041975
2005-01-16,25.215506,29.178,23.078,10.7,0.47387505,0.47941664,0.49558327,0.4906688,25.488419,3.6247864,89.02398,1.1900418,23.728254,0.0,10.144082,20.365335,23.2195,18.2695,15.499999,0.47333336,0.46125004,0.46104178,0.46194586,21.454916,1.6937557,94.3324,0.42495728,19.66421,0.0,14.408997,19.91908,24.8295,15.3295,0.3,0.39779165,0.34170833,0.3605417,0.35919416,22.439913,6.0828276,64.096245,1.8763636,15.199933,0.0,17.148247
2005-01-17,24.286331,28.377998,21.977999,14.499999,0.471375,0.4887083,0.50008327,0.49568495,24.880087,2.745539,91.851814,0.86380553,23.197714,0.0,8.587338,19.248667,22.9695,16.4195,2.9000003,0.4714583,0.4853333,0.46199992,0.4675621,20.327837,2.7905192,83.913765,0.8144121,17.261595,0.0,15.281989,20.356583,26.9795,12.429501,0.0,0.36266664,0.33833328,0.35908332,0.35497674,22.385748,6.728999,52.831512,2.5537138,13.92135,0.0,13.797913
2005-01-18,23.359251,26.028,21.828,33.600002,0.49083337,0.48575008,0.50908333,0.5029058,24.103003,1.6713516,92.33222,0.84274316,22.347498,0.0,13.779114,19.615334,22.4195,17.4695,7.4,0.49287507,0.4849167,0.46275,0.4695138,20.346582,1.9968013,91.1784,0.46542454,18.526634,0.0,10.105681,21.63575,28.4795,13.6295,0.0,0.33441672,0.33399996,0.35754165,0.35097918,23.198248,6.9110665,54.85475,2.83359,15.132588,0.0,14.24163
2005-01-19,24.265501,28.278,22.278,9.2,0.48675,0.47804165,0.50658333,0.4992013,24.509249,3.0171144,87.35061,1.2884047,22.573042,0.0,13.0447235,19.79867,22.5695,18.7195,7.1999993,0.49487498,0.49725,0.466375,0.47485372,20.277834,1.3822201,94.32662,0.50249934,19.098038,0.0,15.379206,22.592001,29.2295,16.2795,0.0,0.31266665,0.3295417,0.35604164,0.3474404,23.989914,6.0160546,64.72369,2.6115804,17.590448,0.0,13.237039
2005-01-20,24.175917,27.377998,21.928,4.2,0.47691676,0.48583338,0.5039166,0.49822918,24.528,3.016239,89.77134,1.0047855,22.816744,0.0,13.849477,20.142418,23.9195,18.369501,4.6000004,0.48362502,0.4920001,0.473375,0.47800374,20.950752,2.5594344,95.13175,0.50996566,19.528214,0.0,8.225035,22.585749,28.4795,16.1295,0.0,0.29554173,0.32537493,0.35450003,0.34425667,24.5045,6.6351395,58.051956,2.4906979,16.644224,0.0,16.92383
