date,temperature_2m_mean_korla,temperature_2m_max_korla,temperature_2m_min_korla,precipitation_sum_korla,soil_moisture_0_to_7cm_mean_korla,soil_moisture_7_to_28cm_mean_korla,soil_moisture_28_to_100cm_mean_korla,soil_moisture_0_to_100cm_mean_korla,soil_temperature_0_to_7cm_mean_korla,et0_fao_evapotranspiration_sum_korla,relative_humidity_2m_mean_korla,vapour_pressure_deficit_max_korla,wet_bulb_temperature_2m_mean_korla,snowfall_water_equivalent_sum_korla,wind_speed_10m_max_korla,temperature_2m_mean_rajkot,temperature_2m_max_rajkot,temperature_2m_min_rajkot,precipitation_sum_rajkot,soil_moisture_0_to_7cm_mean_rajkot,soil_moisture_7_to_28cm_mean_rajkot,soil_moisture_28_to_100cm_mean_rajkot,soil_moisture_0_to_100cm_mean_rajkot,soil_temperature_0_to_7cm_mean_rajkot,et0_fao_evapotranspiration_sum_rajkot,relative_humidity_2m_mean_rajkot,vapour_pressure_deficit_max_rajkot,wet_bulb_temperature_2m_mean_rajkot,snowfall_water_equivalent_sum_rajkot,wind_speed_10m_max_rajkot,temperature_2m_mean_nagpur,temperature_2m_max_nagpur,temperature_2m_min_nagpur,precipitation_sum_nagpur,soil_moisture_0_to_7cm_mean_nagpur,soil_moisture_7_to_28cm_mean_nagpur,soil_moisture_28_to_100cm_mean_nagpur,soil_moisture_0_to_100cm_mean_nagpur,soil_temperature_0_to_7cm_mean_nagpur,et0_fao_evapotranspiration_sum_nagpur,relative_humidity_2m_mean_nagpur,vapour_pressure_deficit_max_nagpur,wet_bulb_temperature_2m_mean_nagpur,snowfall_water_equivalent_sum_nagpur,wind_speed_10m_max_nagpur
2020-09-21,19.187498,25.05,13.3,0.0,0.20666665,0.24300002,0.24700005,0.24333668,19.633333,4.006138,35.62002,2.4988794,10.688836,0.0,12.245293,28.268751,32.25,25.2,0.4,0.45399997,0.42416668,0.44220832,0.439245,29.324997,3.9644797,83.794106,1.6921263,25.932138,0.0,16.299694,29.181246,29.85,28.65,0.1,0.0,0.0,0.0,0.0,31.027079,5.666762,73.05019,1.345875,25.296782,0.0,19.296133
2020-09-22,20.475,25.15,14.95,0.0,0.20633332,0.24650002,0.24300003,0.24116828,19.364582,4.3368883,28.358389,2.62844,10.70506,0.0,18.671474,28.370832,33.15,25.05,0.1,0.42704165,0.41795835,0.4387083,0.43353412,29.525002,4.0049834,82.26692,2.0163128,25.77198,0.0,16.327497,26.88125,27.85,26.2,38.9,0.0,0.0,0.0,0.0,30.775002,1.9193279,87.00021,0.708971,25.123266,0.0,26.208395
2020-09-23,19.564585,25.25,14.45,0.0,0.20483331,0.24300002,0.24700005,0.24320836,19.90208,5.1255646,30.666265,2.4787354,10.440162,0.0,27.248457,28.191666,32.0,25.15,0.3,0.41762498,0.41441664,0.43670824,0.43069124,29.549995,4.049141,79.94646,1.8195553,25.27889,0.0,13.779114,27.749998,29.05,26.85,9.2,0.0,0.0,0.0,0.0,30.666666,4.28608,81.38601,0.9517975,25.163588,0.0,32.569557
2020-09-24,20.94375,26.6,14.3,0.0,0.204,0.24300002,0.24700005,0.24315007,21.147917,4.335622,26.93231,2.8582582,10.679105,0.0,12.387348,27.212502,31.15,24.75,2.8999999,0.4045417,0.406875,0.43358338,0.42594174,29.093752,3.731061,80.50528,1.4839194,24.476961,0.0,15.827721,27.977087,29.25,26.35,13.299999,0.0,0.0,0.0,0.0,30.560415,3.9799285,82.2586,0.9892652,25.501612,0.0,20.730501
2020-09-25,17.99375,21.55,14.5,0.0,0.204,0.24300002,0.24700005,0.24315007,20.18542,6.9534183,28.861143,2.04291,9.001306,0.0,38.30407,26.512499,30.65,23.05,0.4,0.39104167,0.39775,0.42958343,0.42020038,28.479166,4.0456085,77.52502,1.815794,23.304804,0.0,17.873554,28.370836,29.25,26.9,9.2,0.0,0.0,0.0,0.0,30.55417,3.8867688,82.172134,0.9566786,25.874159,0.0,20.883102
2020-09-26,16.725,19.55,13.45,0.0,0.204,0.24300002,0.24700005,0.24315007,18.685415,5.60518,27.41424,1.7846489,7.8900256,0.0,33.3559,26.183334,30.25,22.15,0.0,0.37320837,0.3902917,0.42699996,0.41552594,28.437498,4.0190425,78.159744,1.83252,23.060938,0.0,10.538843,28.837496,29.8,27.55,2.7,0.0,0.0,0.0,0.0,30.791664,5.204815,80.525795,1.1291633,26.083862,0.0,19.06301
2020-09-27,17.722918,22.2,13.0,0.0,0.20345837,0.24300002,0.24700005,0.24311216,19.583334,4.6675334,28.162628,2.1023006,8.706516,0.0,17.935081,26.408335,30.95,22.2,0.0,0.36033335,0.38491666,0.42404163,0.41136578,28.689585,4.3531656,75.64408,2.2129397,22.869257,0.0,10.514218,28.360418,29.35,27.45,3.8999999,0.0,0.0,0.0,0.0,30.65833,4.7850547,80.217125,1.067488,25.583445,0.0,21.638964
2020-09-28,17.368752,22.6,10.95,0.0,0.20300002,0.24300002,0.24700005,0.2430801,18.070833,4.2955403,28.013933,2.2433403,8.271771,0.0,20.188908,26.566668,30.95,23.05,0.0,0.34625006,0.37741664,0.42108333,0.406675,28.964584,4.245614,76.87391,2.134292,23.230806,0.0,11.808878,28.714582,30.2,27.8,0.3,0.0,0.0,0.0,0.0,30.597916,5.515196,74.32903,1.5414736,25.037155,0.0,27.397867
2020-09-29,14.425,18.45,9.95,0.0,0.20300002,0.24300002,0.24700005,0.2430801,17.52917,4.8293204,16.63694,1.824697,4.7605557,0.0,29.882166,26.570833,30.8,22.95,0.3,0.33516666,0.37129167,0.41895846,0.40308297,28.885414,3.845116,78.05787,1.8204591,23.474745,0.0,12.074766,28.77917,29.65,27.8,0.6,0.0,0.0,0.0,0.0,30.570833,4.959094,75.70848,1.1776102,25.312101,0.0,22.3229
2020-09-30,13.322915,17.25,8.3,0.0,0.20300002,0.24300002,0.24700005,0.2430801,14.968751,3.774552,21.393265,1.6670977,4.5994835,0.0,19.721298,27.031252,31.0,23.6,1.2,0.3275417,0.36583337,0.4166249,0.39972296,28.97083,3.5780249,77.86845,1.7364726,23.868881,0.0,10.931203,28.066668,28.85,26.0,9.799999,0.0,0.0,0.0,0.0,30.824999,4.605627,81.19785,0.9692116,25.440016,0.0,17.068707
