selected_features
soil_temperature_28_to_100cm_mean_loc1.0
soil_temperature_28_to_100cm_mean_loc2.0
soil_moisture_28_to_100cm_mean_loc2.0
soil_temperature_0_to_100cm_mean_loc1.0
soil_moisture_7_to_28cm_mean_loc2.0
soil_moisture_28_to_100cm_mean_loc3.0
ecm_spread
soil_moisture_0_to_100cm_mean_loc2.0
soil_temperature_28_to_100cm_mean_loc3.0
soil_temperature_0_to_100cm_mean_loc2.0
soil_moisture_7_to_28cm_mean_loc3.0
